date,strike,option_type,expiry,close,implied_volatility,underlying_close,open_interest,volume
2025-12-04,27300.0,PE,2026-01-06,1218.9,14.862843122654516,26033.75,0,0
2025-12-04,27350.0,CE,2026-01-06,101.7,14.725985339935137,26033.75,0,0
2025-12-04,27350.0,PE,2026-01-06,1260.5,14.867688528923154,26033.75,0,0
2025-12-04,27400.0,CE,2026-01-06,94.15,14.7287490903506,26033.75,0,0
2025-12-04,27400.0,PE,2026-01-06,1302.65,14.875812715930556,26033.75,0,0
2025-12-04,27450.0,CE,2026-01-06,87.0,14.727696042192004,26033.75,0,0
2025-12-04,27450.0,PE,2026-01-06,1345.25,14.883320957257562,26033.75,0,0
2025-12-04,27500.0,CE,2026-01-06,80.35,14.729282417522349,26033.75,0,0
2025-12-04,27500.0,PE,2026-01-06,1388.3,14.891308398402995,26033.75,0,0
2025-12-04,27550.0,CE,2026-01-06,19.0,10.468442472254788,26033.75,325,3
2025-12-04,27550.0,PE,2026-01-06,1431.75,14.898083821398501,26033.75,0,0
2025-12-04,27600.0,CE,2026-01-06,68.3,14.731388249087358,26033.75,0,0
2025-12-04,27600.0,PE,2026-01-06,1475.65,14.907823802414006,26033.75,0,0
2025-12-04,27650.0,CE,2026-01-06,62.85,14.7311871746884,26033.75,0,0
2025-12-04,27650.0,PE,2026-01-06,1519.9,14.91573223675757,26033.75,0,0
2025-12-04,27700.0,CE,2026-01-06,8.85,9.849762523470075,26033.75,0,0
2025-12-04,27700.0,PE,2026-01-06,1564.55,14.926251275770152,26033.75,0,0
2025-12-04,27750.0,CE,2026-01-06,53.05,14.731181143782202,26033.75,0,0
2025-12-04,27750.0,PE,2026-01-06,1609.55,14.93753569381294,26033.75,0,0
2025-12-04,27800.0,CE,2026-01-06,8.6,10.320688337641739,26033.75,8060,182
2025-12-04,27800.0,PE,2026-01-06,1654.9,14.951066080830458,26033.75,0,0
2025-12-04,23750.0,CE,2026-01-27,2239.15,,26033.75,65,0
2025-12-04,23750.0,PE,2026-01-27,16.15,14.119649171103926,26033.75,101790,94
2025-12-04,23800.0,CE,2026-01-27,2192.35,,26033.75,65,0
2025-12-04,23800.0,PE,2026-01-27,19.9,14.397883399328368,26033.75,31590,99
2025-12-04,23850.0,CE,2026-01-27,2474.5,18.011370897429092,26033.75,65,0
2025-12-04,23850.0,PE,2026-01-27,18.15,13.912644401488844,26033.75,1430,4
2025-12-04,23900.0,CE,2026-01-27,2427.15,17.863004818363795,26033.75,65,0
2025-12-04,23900.0,PE,2026-01-27,19.7,13.868030399947031,26033.75,1755,3
2025-12-04,23950.0,CE,2026-01-27,2593.65,27.76692976089596,26033.75,65,0
2025-12-04,23950.0,PE,2026-01-27,19.8,13.628812737666879,26033.75,2015,4
2025-12-04,24000.0,CE,2026-01-27,2336.6,17.81468938334511,26033.75,39130,179
2025-12-04,24000.0,PE,2026-01-27,21.25,13.554205857122353,26033.75,239265,2178
2025-12-04,24050.0,CE,2026-01-27,2285.75,17.424103491972588,26033.75,65,0
2025-12-04,24050.0,PE,2026-01-27,23.9,13.602769795213879,26033.75,1170,14
2025-12-04,24100.0,CE,2026-01-27,2157.2,,26033.75,130,0
2025-12-04,24100.0,PE,2026-01-27,20.45,12.949981469137581,26033.75,5785,66
2025-12-04,24150.0,CE,2026-01-27,2192.1,17.137604246470488,26033.75,65,0
2025-12-04,24150.0,PE,2026-01-27,24.0,13.095015030653471,26033.75,2015,13
2025-12-04,24200.0,CE,2026-01-27,2055.0,,26033.75,130,0
2025-12-04,24200.0,PE,2026-01-27,24.25,12.861669674892113,26033.75,19630,69
2025-12-04,24250.0,CE,2026-01-27,2099.0,16.855573762158045,26033.75,65,0
2025-12-04,24250.0,PE,2026-01-27,27.65,12.941741743517959,26033.75,2795,6
2025-12-04,24300.0,CE,2026-01-27,1997.0,12.957737201080361,26033.75,130,0
2025-12-04,24300.0,PE,2026-01-27,28.05,12.714056181632213,26033.75,31200,155
2025-12-04,24350.0,CE,2026-01-27,2006.65,16.585470262964165,26033.75,65,0
2025-12-04,24350.0,PE,2026-01-27,36.15,13.151872899459443,26033.75,2210,0
2025-12-04,24400.0,CE,2026-01-27,1960.75,16.45311189856497,26033.75,65,0
2025-12-04,24400.0,PE,2026-01-27,30.35,12.387253291210158,26033.75,41405,280
2025-12-04,24450.0,CE,2026-01-27,1915.1,16.325230692068082,26033.75,65,0
2025-12-04,24450.0,PE,2026-01-27,33.4,12.374655336319458,26033.75,3965,10
2025-12-04,24500.0,CE,2026-01-27,1857.0,15.561707448075524,26033.75,14105,70
2025-12-04,24500.0,PE,2026-01-27,33.45,12.103847812908011,26033.75,649480,4972
2025-12-04,24550.0,CE,2026-01-27,1822.65,15.98903132552648,26033.75,65,0
2025-12-04,24550.0,PE,2026-01-27,35.7,12.005302169298501,26033.75,4355,29
2025-12-04,24600.0,CE,2026-01-27,1682.95,9.640126511616826,26033.75,455,0
2025-12-04,24600.0,PE,2026-01-27,38.35,11.924713947190314,26033.75,114010,1263
2025-12-04,24650.0,CE,2026-01-27,1435.55,,26033.75,65,0
2025-12-04,24650.0,PE,2026-01-27,40.4,11.788567679475047,26033.75,6890,18
2025-12-04,24700.0,CE,2026-01-27,1589.25,9.748995547855488,26033.75,195,0
2025-12-04,24700.0,PE,2026-01-27,42.25,11.629998908927133,26033.75,240370,1065
2025-12-04,24750.0,CE,2026-01-27,1723.8,18.650050173771092,26033.75,260,0
2025-12-04,24750.0,PE,2026-01-27,46.25,11.603236942925617,26033.75,19890,81
2025-12-04,24800.0,CE,2026-01-27,1580.25,14.543229667604551,26033.75,325,2
2025-12-04,24800.0,PE,2026-01-27,48.3,11.437633853832004,26033.75,317980,884
2025-12-04,24850.0,CE,2026-01-27,1762.75,22.5103863237928,26033.75,130,0
2025-12-04,24850.0,PE,2026-01-27,52.3,11.379800229109177,26033.75,9295,58
2025-12-04,24900.0,CE,2026-01-27,1243.15,,26033.75,65,0
2025-12-04,24900.0,PE,2026-01-27,56.45,11.313598488698426,26033.75,301145,523
2025-12-04,24950.0,CE,2026-01-27,1632.15,20.651803010733108,26033.75,195,0
2025-12-04,24950.0,PE,2026-01-27,69.0,11.666386049449802,26033.75,11895,8
2025-12-04,25000.0,CE,2026-01-27,1397.95,13.81250391737896,26033.75,101465,247
2025-12-04,25000.0,PE,2026-01-27,66.2,11.207418611039174,26033.75,1385150,6022
2025-12-04,25050.0,CE,2026-01-27,1548.25,20.271065413741468,26033.75,65,0
2025-12-04,25050.0,PE,2026-01-27,68.8,11.01764173485714,26033.75,15405,22
2025-12-04,25100.0,CE,2026-01-27,1305.35,13.34538592123555,26033.75,650,4
2025-12-04,25100.0,PE,2026-01-27,73.25,10.907349276767734,26033.75,274105,523
2025-12-04,25150.0,CE,2026-01-27,1314.7,15.089659786526171,26033.75,130,0
2025-12-04,25150.0,PE,2026-01-27,78.8,10.83289808005327,26033.75,8320,38
2025-12-04,25200.0,CE,2026-01-27,1225.0,13.298035169880517,26033.75,3575,6
2025-12-04,25200.0,PE,2026-01-27,84.75,10.758817333888752,26033.75,420355,2007
2025-12-04,25250.0,CE,2026-01-27,1260.0,15.74219260374651,26033.75,195,0
2025-12-04,25250.0,PE,2026-01-27,90.55,10.661388352361065,26033.75,9750,32
2025-12-04,25300.0,CE,2026-01-27,1104.8,11.784044501249756,26033.75,715,2
2025-12-04,25300.0,PE,2026-01-27,95.75,10.524388262145798,26033.75,319930,1787
2025-12-04,25350.0,CE,2026-01-27,1244.05,17.41958804801016,26033.75,260,0
2025-12-04,25350.0,PE,2026-01-27,104.0,10.490969772215584,26033.75,16445,230
2025-12-04,25400.0,CE,2026-01-27,992.4,10.557240634437868,26033.75,3315,3
2025-12-04,25400.0,PE,2026-01-27,110.85,10.3848611569659,26033.75,323440,1191
2025-12-04,25450.0,CE,2026-01-27,950.2,10.445762490506587,26033.75,195,0
2025-12-04,25450.0,PE,2026-01-27,119.05,10.310412779444547,26033.75,9035,9
2025-12-04,25500.0,CE,2026-01-27,977.35,12.558284540526088,26033.75,123110,1225
2025-12-04,25500.0,PE,2026-01-27,131.4,10.358648112914437,26033.75,772785,5715
2025-12-04,25550.0,CE,2026-01-27,905.0,11.432293823392085,26033.75,455,0
2025-12-04,25550.0,PE,2026-01-27,137.65,10.178655462709035,26033.75,11765,42
2025-12-04,25600.0,CE,2026-01-27,889.5,12.048226793180289,26033.75,7475,17
2025-12-04,25600.0,PE,2026-01-27,148.35,10.127867279321395,26033.75,111215,534
2025-12-04,25650.0,CE,2026-01-27,805.7,10.589642176447295,26033.75,1105,3
2025-12-04,25650.0,PE,2026-01-27,159.75,10.077395990420603,26033.75,5135,61
2025-12-04,25700.0,CE,2026-01-27,813.7,11.843967683754144,26033.75,57330,44
2025-12-04,25700.0,PE,2026-01-27,171.75,10.023308571348014,26033.75,73515,446
2025-12-04,25750.0,CE,2026-01-27,890.0,14.853304832164785,26033.75,195,0
2025-12-04,25750.0,PE,2026-01-27,183.15,9.92994902395859,26033.75,6240,57
2025-12-04,25800.0,CE,2026-01-27,743.25,11.72041592286804,26033.75,46345,859
2025-12-04,25800.0,PE,2026-01-27,196.45,9.87066181593201,26033.75,130650,1193
2025-12-04,25850.0,CE,2026-01-27,673.35,10.685865945122709,26033.75,4550,9
2025-12-04,25850.0,PE,2026-01-27,212.7,9.871288282088333,26033.75,4615,82
2025-12-04,25900.0,CE,2026-01-27,670.5,11.460392674250793,26033.75,35555,273
2025-12-04,25900.0,PE,2026-01-27,224.0,9.711974142163882,26033.75,100360,976
2025-12-04,25950.0,CE,2026-01-27,642.4,11.5216580857144,26033.75,3510,44
2025-12-04,25950.0,PE,2026-01-27,241.8,9.707421464481275,26033.75,14040,154
2025-12-04,26000.0,CE,2026-01-27,611.0,11.474119879596227,26033.75,529100,4237
2025-12-04,26000.0,PE,2026-01-27,257.5,9.622431933581138,26033.75,618085,6490
2025-12-04,26050.0,CE,2026-01-27,574.35,11.27123867937158,26033.75,10075,119
2025-12-04,26050.0,PE,2026-01-27,274.2,9.540417072185656,26033.75,8385,130
2025-12-04,26100.0,CE,2026-01-27,545.05,11.237591779105959,26033.75,63700,683
2025-12-04,26100.0,PE,2026-01-27,291.9,9.460412290451021,26033.75,70395,625
2025-12-04,26150.0,CE,2026-01-27,514.9,11.161085663072356,26033.75,6110,7
2025-12-04,26150.0,PE,2026-01-27,310.1,9.368868555362853,26033.75,15730,50
2025-12-04,26200.0,CE,2026-01-27,484.15,11.0484189794748,26033.75,104650,1025
2025-12-04,26200.0,PE,2026-01-27,329.95,9.29422325624861,26033.75,102050,832
2025-12-04,26250.0,CE,2026-01-27,457.85,11.026077483882155,26033.75,10595,83
2025-12-04,26250.0,PE,2026-01-27,350.95,9.222901404211163,26033.75,10010,32
2025-12-04,26300.0,CE,2026-01-27,428.35,10.901528575679764,26033.75,95680,835
2025-12-04,26300.0,PE,2026-01-27,371.65,9.117950575927978,26033.75,73970,609
2025-12-04,26350.0,CE,2026-01-27,399.65,10.774682574616284,26033.75,7280,54
2025-12-04,26350.0,PE,2026-01-27,394.05,9.028805782183737,26033.75,7540,58
2025-12-04,26400.0,CE,2026-01-27,373.7,10.693821885273053,26033.75,77480,655
2025-12-04,26400.0,PE,2026-01-27,418.7,8.968721190229335,26033.75,49205,292
2025-12-04,26450.0,CE,2026-01-27,350.25,10.652662043697546,26033.75,5785,39
2025-12-04,26450.0,PE,2026-01-27,443.2,8.876861524954126,26033.75,2405,16
